SUCONAME,SUBDSTCODE,DISTCODE,DISTNAME,SUBDISTRCT,SUCOCODE,REGION
Dato,802,8,Liquiçá,Liquiçá,80201,4
Tulataqueo,203,2,Aileu,Remexio,20302,3
Balibar,606,6,Dili,Cristo Rei,60605,3
Letemuno,303,3,Baucau,Quelicai,30303,1
Bualale,303,3,Baucau,Quelicai,30306,1
Locoliu,303,3,Baucau,Quelicai,30302,1
Haeconi,304,3,Baucau,Baguia,30404,1
Uaibobo,1302,13,Viqueque,Ossu,130201,1
Baha Mori,306,3,Baucau,Venilale,30602,1
Loidahar,802,8,Liquiçá,Liquiçá,80202,4
Baha Mori,306,3,Baucau,Venilale,30602,1
Cotolau,204,2,Aileu,Laulara,20401,3
Cainliu,903,9,Lautem,Iliomar,90302,1
Alaua Leten,304,3,Baucau,Baguia,30403,1
Vatuvou,803,8,Liquiçá,Maubara,80303,4
Vaviquinia,803,8,Liquiçá,Maubara,80306,4
Lari Sula,304,3,Baucau,Baguia,30406,1
Alaua Craic,304,3,Baucau,Baguia,30402,1
Fatumasi,801,8,Liquiçá,Bazartete,80101,4
Fahilebo,801,8,Liquiçá,Bazartete,80102,4
Sanana'in,1106,11,Manatuto,Laclubar,110606,2
Fatisi,204,2,Aileu,Laulara,20405,3
Lelalai,303,3,Baucau,Quelicai,30307,1
Metagou,801,8,Liquiçá,Bazartete,80105,4
Tohumeta,204,2,Aileu,Laulara,20404,3
Laisorolai de Baixo,303,3,Baucau,Quelicai,30312,1
Abo,303,3,Baucau,Quelicai,30308,1
Uataco,306,3,Baucau,Venilale,30608,1
Madabeno,204,2,Aileu,Laulara,20403,3
Cribas,1101,11,Manatuto,Manatuto,110101,2
Luculai,802,8,Liquiçá,Liquiçá,80204,4
Gugleur,803,8,Liquiçá,Maubara,80307,4
Hatuquessi,802,8,Liquiçá,Liquiçá,80205,4
Laisorolai de Cima,303,3,Baucau,Quelicai,30311,1
Fatulia,306,3,Baucau,Venilale,30607,1
Osso-Huna,304,3,Baucau,Baguia,30405,1
Saboria,201,2,Aileu,Aileu vila,20110,3
Maubaralissa,803,8,Liquiçá,Maubara,80305,4
Uailaha,306,3,Baucau,Venilale,30603,1
Faturasa,203,2,Aileu,Remexio,20304,3
Leorema,801,8,Liquiçá,Bazartete,80107,4
Fadabloco,203,2,Aileu,Remexio,20305,3
Darulete,802,8,Liquiçá,Liquiçá,80203,4
