"ALDEIA,C,100","SUCO,C,80","P_ADMIN,C,50","NewAldCode,C,254","NewSucoCod,C,254","NewPostAdC,C,254","NewMunCode,C,254"
Leço-Ai,Dai-Sua,Same,12030302,120303,1203,12
Leço-Lau,Dai-Sua,Same,12030303,120303,1203,12
Dai-Sua,Dai-Sua,Same,12030301,120303,1203,12
Ria-Lau,Letefoho,Same,12030606,120306,1203,12
Ladiqui,Letefoho,Same,12030603,120306,1203,12
Rai-Ubo,Letefoho,Same,12030605,120306,1203,12
Ailuli,Letefoho,Same,12030601,120306,1203,12
Tomonamo,Letefoho,Same,12030607,120306,1203,12
Manico,Letefoho,Same,12030604,120306,1203,12
Batas,Tutuluro,Same,12030802,120308,1203,12
Hastetuc,Tutuluro,Same,12030805,120308,1203,12
Fatubessi,Fatukahi,Fatuberlio,12020502,120205,1202,12
Fatuboe,Fatukahi,Fatuberlio,12020503,120205,1202,12
Fatumutin,Fatukahi,Fatuberlio,12020504,120205,1202,12
Saluquim,Clacuc,Fatuberlio,12020303,120203,1202,12
Mane Hat,Clacuc,Fatuberlio,12020301,120203,1202,12
Tiro,Clacuc,Fatuberlio,12020304,120203,1202,12
Webicas,Clacuc,Fatuberlio,12020305,120203,1202,12
Fanolelo,Liurai,Turiscai,12040702,120407,1204,12
Titilawai,Liurai,Turiscai,12040705,120407,1204,12
Fohonaru,Liurai,Turiscai,12040703,120407,1204,12
Bilimano,Liurai,Turiscai,12040701,120407,1204,12
Markoluli,Liurai,Turiscai,12040704,120407,1204,12
Ermori,Fatucalo,Turiscai,12040402,120404,1204,12
Ailulimau,Lessuata,Turiscai,12040601,120406,1204,12
Bitibo,Lessuata,Turiscai,12040602,120406,1204,12
Lebucoa,Lessuata,Turiscai,12040603,120406,1204,12
Orluli,Matorec,Turiscai,12040903,120409,1204,12
Rimori,Matorec,Turiscai,12040904,120409,1204,12
Foho Tu,Matorec,Turiscai,12040902,120409,1204,12
Maubissi,Mindelo,Turiscai,12041003,120410,1204,12
Orcenaco,Mindelo,Turiscai,12041004,120410,1204,12
Aidila,Mindelo,Turiscai,12041001,120410,1204,12
Teberai,Orana,Turiscai,12041103,120411,1204,12
Fatulelo,Orana,Turiscai,12041101,120411,1204,12
Toilero,Manumera,Turiscai,12040804,120408,1204,12
Cotalaulara,Manumera,Turiscai,12040802,120408,1204,12
Assumata,Manumera,Turiscai,12040801,120408,1204,12
Fohua,Caimauc,Turiscai,12040302,120403,1204,12
Railete,Caimauc,Turiscai,12040304,120403,1204,12
Lemano,Caimauc,Turiscai,12040303,120403,1204,12
Bussacoa,Caimauc,Turiscai,12040301,120403,1204,12
Lutarmata,Foholau,Turiscai,12040502,120405,1204,12
Tarabula,Foholau,Turiscai,12040503,120405,1204,12
Beremana,Beremana,Turiscai,12040201,120402,1204,12
Dalubo,Beremana,Turiscai,12040202,120402,1204,12
Furak Lau,Aitemua,Turiscai,12040101,120401,1204,12
Kakeuk Laletek,Taitudac,Alas,12010402,120104,1201,12
Mahaklusin,Taitudac,Alas,12010404,120104,1201,12
Manus,Taitudac,Alas,12010405,120104,1201,12
Ailora,Taitudac,Alas,12010401,120104,1201,12
Rai Kesa,Aituha,Alas,12010102,120101,1201,12
Knua Alas,Mahaquidan,Alas,12010303,120103,1201,12
Uma Mean,Mahaquidan,Alas,12010305,120103,1201,12
Beremanek,Mahaquidan,Alas,12010301,120103,1201,12
Tahu Bein,Mahaquidan,Alas,12010304,120103,1201,12
Colocau,Uma Berloic,Alas,12010502,120105,1201,12
Uma Feric,Uma Berloic,Alas,12010504,120105,1201,12
Culuhun,Uma Berloic,Alas,12010503,120105,1201,12
Sarin,Dotik,Alas,12010202,120102,1201,12
Weberec,Dotik,Alas,12010203,120102,1201,12
Gourema,Horai-Quic,Maubisse,02040402,020404,0204,02
Hatussao,Horai-Quic,Maubisse,02040403,020404,0204,02
Cartolo,Horai-Quic,Maubisse,02040401,020404,0204,02
Rita,Maulau,Maubisse,02040908,020409,0204,02
Hahi-Mau,Maulau,Maubisse,02040902,020409,0204,02
Tara-Bula,Maulau,Maubisse,02040909,020409,0204,02
Hato-Lete,Maulau,Maubisse,02040904,020409,0204,02
Laca-Mali-Cau,Maulau,Maubisse,02040905,020409,0204,02
Lumo-Luli,Maulau,Maubisse,02040906,020409,0204,02
Aihosan,Maulau,Maubisse,02040901,020409,0204,02
Maleria,Maulau,Maubisse,02040907,020409,0204,02
Ussululi,Maulau,Maubisse,02040910,020409,0204,02
Hato-Cade,Maulau,Maubisse,02040903,020409,0204,02
Rae-Buti-Lau,Fatubessi,Maubisse,02040304,020403,0204,02
Cassimidei,Fatubessi,Maubisse,02040302,020403,0204,02
Tutu-Fili,Fatubessi,Maubisse,02040306,020403,0204,02
Titibauria,Fatubessi,Maubisse,02040305,020403,0204,02
Caitara,Fatubessi,Maubisse,02040301,020403,0204,02
5 de Outubro,Bairro Pite,Dom Aleixo,07020101,070201,0702,07
Orlalan,Orlalan,Laclubar,11030506,110305,1103,11
Torilalan,Orlalan,Laclubar,11030508,110305,1103,11
Aman Un,Manelima,Laclubar,11030401,110304,1103,11
Calohan,Manelima,Laclubar,11030402,110304,1103,11
Mane Atun,Manelima,Laclubar,11030406,110304,1103,11
Futumanuc,Manelima,Laclubar,11030403,110304,1103,11
Aimaulin,Orlalan,Laclubar,11030501,110305,1103,11
Lafulau,Manelima,Laclubar,11030405,110304,1103,11
Lacenu (Laqueno),Manelima,Laclubar,11030404,110304,1103,11
Fatulaun,Orlalan,Laclubar,11030503,110305,1103,11
Diric Un,Orlalan,Laclubar,11030502,110305,1103,11
Le'i,Orlalan,Laclubar,11030504,110305,1103,11
Naule'en,Orlalan,Laclubar,11030505,110305,1103,11
Pualaca,Orlalan,Laclubar,11030507,110305,1103,11
Balulin,Batara,Laclubar,11030102,110301,1103,11
Fatuha,Batara,Laclubar,11030103,110301,1103,11
Are Ain,Batara,Laclubar,11030101,110301,1103,11
Laramera,Fatumaquerec,Laclubar,11030201,110302,1103,11
Lisuata,Fatumaquerec,Laclubar,11030202,110302,1103,11
Lawado,Funar,Laclubar,11030303,110303,1103,11
Fahi Lihun,Funar,Laclubar,11030302,110303,1103,11
Bamatac,Funar,Laclubar,11030301,110303,1103,11
Tanusa,Sananain,Laclubar,11030603,110306,1103,11
Isadan,Manehat,Barique,11010402,110104,1101,11
Ranac,Cribas,Manatuto,11050303,110503,1105,11
Tuquete,Cribas,Manatuto,11050304,110503,1105,11
Weubani,Cribas,Manatuto,11050305,110503,1105,11
Ma'abat,Ma'Abat,Manatuto,11050501,110505,1105,11
Bi-Uac,Aiteas,Manatuto,11050201,110502,1105,11
Iun,Ailili,Manatuto,11050102,110501,1105,11
Sau,Sau,Manatuto,11050602,110506,1105,11
Belebato,Ailili,Manatuto,11050101,110501,1105,11
I-Un,Iliheu,Manatuto,11050401,110504,1105,11
Ili-Huli,Iliheu,Manatuto,11050402,110504,1105,11
Umasau,Aiteas,Manatuto,11050204,110502,1105,11
Rembor,Aiteas,Manatuto,11050203,110502,1105,11
Carlilu,Aiteas,Manatuto,11050202,110502,1105,11
Coreio,Lahane Ocidental,Vera Cruz,07050405,070504,0705,07
Maun-Fahe,Maun-Fahe,Soibada,11060401,110604,1106,11
Lesuata,Fatumaquerec,Soibada,11060101,110601,1106,11
Sasahi,Fatumaquerec,Soibada,11060102,110601,1106,11
Nu-Ahuc,Manehat,Barique,11010403,110104,1101,11
Malus Hun,Leo-Hat,Soibada,11060202,110602,1106,11
Leo-Hat,Leo-Hat,Soibada,11060201,110602,1106,11
Caunua,Cribas,Manatuto,11050302,110503,1105,11
Riheun,Lequitura,Aileu Vila,01010803,010108,0101,01
Erluli,Lequitura,Aileu Vila,01010804,010108,0101,01
Mauberhatan,Bocolelo,Laulara,01020102,010201,0102,01
Ermequi,Bocolelo,Laulara,01020103,010201,0102,01
Dirlau,Humboe,Ermera,08020202,080202,0802,08
Borohei,Humboe,Ermera,08020201,080202,0802,08
Poeana,Humboe,Ermera,08020204,080202,0802,08
Gueguemara,Poetete,Ermera,08020603,080206,0802,08
Urluli,Poetete,Ermera,08020612,080206,0802,08
Rematu,Poetete,Ermera,08020607,080206,0802,08
Lequisi,Poetete,Ermera,08020604,080206,0802,08
Taklela,Poetete,Ermera,08020609,080206,0802,08
Titihar,Leguimea,Ermera,08020406,080204,0802,08
Aldeia Vila,Poetete,Ermera,08020601,080206,0802,08
Loblala,Poetete,Ermera,08020605,080206,0802,08
Poepun,Poetete,Ermera,08020606,080206,0802,08
Tidibessi,Poetete,Ermera,08020610,080206,0802,08
Railakan,Estado,Ermera,08020108,080201,0802,08
Moris Mesak,Estado,Ermera,08020107,080201,0802,08
Tatoli,Estado,Ermera,08020112,080201,0802,08
Tajaquina,Estado,Ermera,08020111,080201,0802,08
Saramata,Estado,Ermera,08020109,080201,0802,08
Huitaso,Estado,Ermera,08020104,080201,0802,08
Indau Lulik,Estado,Ermera,08020105,080201,0802,08
Hamrik Metin,Estado,Ermera,08020103,080201,0802,08
Coulao Haburas,Estado,Ermera,08020102,080201,0802,08
Samatrae,Poetete,Ermera,08020608,080206,0802,08
Lohmo,Raimerhei,Ermera,08020801,080208,0802,08
Moris Foun,Raimerhei,Ermera,08020803,080208,0802,08
Rai Maran,Raimerhei,Ermera,08020805,080208,0802,08
Nazare,Raimerhei,Ermera,08020804,080208,0802,08
Mate Resto,Raimerhei,Ermera,08020802,080208,0802,08
Hatuleta,Leguimea,Ermera,08020401,080204,0802,08
Poehei,Leguimea,Ermera,08020403,080204,0802,08
Tidir,Leguimea,Ermera,08020405,080204,0802,08
Urletoho,Poetete,Ermera,08020611,080206,0802,08
Kaisahe,Tocoluli,Railaco,08060901,080609,0806,08
Tahobote,Tocoluli,Railaco,08060903,080609,0806,08
Lebubo,Deleso,Railaco,08060102,080601,0806,08
Aiurlala,Samalete,Railaco,08060701,080607,0806,08
Leburema,Samalete,Railaco,08060703,080607,0806,08
Palimano,Fatuquero,Railaco,08060202,080602,0806,08
Laqueco,Taraco,Railaco,08060802,080608,0806,08
Hi,Liho,Railaco,08060303,080603,0806,08
Raeudu,Liho,Railaco,08060304,080603,0806,08
Camalraehei,Liho,Railaco,08060302,080603,0806,08
Mauane,Matata,Railaco,08060402,080604,0806,08
Colaco,Matata,Railaco,08060401,080604,0806,08
Taemausoru,Matata,Railaco,08060403,080604,0806,08
Cucoa,Railaco Craic,Railaco,08060501,080605,0806,08
Sobrequeque,Railaco Craic,Railaco,08060504,080605,0806,08
Fatucado,Railaco Craic,Railaco,08060502,080605,0806,08
Colhuinamo,Railaco Leten,Railaco,08060601,080606,0806,08
Tunlero,Railaco Leten,Railaco,08060605,080606,0806,08
Tuileso,Railaco Leten,Railaco,08060604,080606,0806,08
Manuponihei,Railaco Leten,Railaco,08060603,080606,0806,08
Soilacudu,Tiarlelo,Atsabe,08011203,080112,0801,08
Tiarlelo-Ilat,Tiarlelo,Atsabe,08011201,080112,0801,08
Batumigi,Malabe,Atsabe,08010901,080109,0801,08
Ilat Kora,Malabe,Atsabe,08010903,080109,0801,08
Boboleta,Malabe,Atsabe,08010902,080109,0801,08
Lauabe,Baboi Craic,Atsabe,08010204,080102,0801,08
Lelobere,Baboi Craic,Atsabe,08010205,080102,0801,08
Cailulik,Baboi Craic,Atsabe,08010202,080102,0801,08
Colimali,Baboi Craic,Atsabe,08010203,080102,0801,08
Raibuti,Baboi Craic,Atsabe,08010206,080102,0801,08
Leulara,Leimea Leten,Atsabe,08010804,080108,0801,08
Raebou,Leimea Leten,Atsabe,08010807,080108,0801,08
Railia,Leimea Leten,Atsabe,08010808,080108,0801,08
Orbeto,Leimea Leten,Atsabe,08010806,080108,0801,08
Buibaro,Leimea Leten,Atsabe,08010803,080108,0801,08
Ahigara,Leimea Leten,Atsabe,08010801,080108,0801,08
Olacata,Leimea Leten,Atsabe,08010805,080108,0801,08
Sirui / Purogoa,Laubono,Atsabe,08010703,080107,0801,08
Biabote,Laubono,Atsabe,08010701,080107,0801,08
Airae,Paramin,Atsabe,08011101,080111,0801,08
Ilat,Paramin,Atsabe,08011106,080111,0801,08
Aliatu / Aileso,Paramin,Atsabe,08011102,080111,0801,08
Atubuti,Paramin,Atsabe,08011104,080111,0801,08
Atupae,Paramin,Atsabe,08011105,080111,0801,08
Biliubu,Obulo,Atsabe,08011003,080110,0801,08
Suriubu,Obulo,Atsabe,08011007,080110,0801,08
Obeto,Obulo,Atsabe,08011006,080110,0801,08
Atubrao,Obulo,Atsabe,08011001,080110,0801,08
Atulara,Obulo,Atsabe,08011002,080110,0801,08
Motoubu,Obulo,Atsabe,08011005,080110,0801,08
Aiabe,Lacao,Atsabe,08010501,080105,0801,08
Nunumea,Lacao,Atsabe,08010503,080105,0801,08
Taiubu,Lacao,Atsabe,08010504,080105,0801,08
Ilat,Baboi Leten,Atsabe,08010302,080103,0801,08
Raelau,Baboi Leten,Atsabe,08010304,080103,0801,08
Liabe,Baboi Leten,Atsabe,08010303,080103,0801,08
Sorate,Laclo,Atsabe,08010603,080106,0801,08
Tapomea,Laclo,Atsabe,08010604,080106,0801,08
Malitada,Laclo,Atsabe,08010602,080106,0801,08
Batu'u,Batu Mano,Atsabe,08010402,080104,0801,08
Mutubau,Batu Mano,Atsabe,08010404,080104,0801,08
Batu Ero,Batu Mano,Atsabe,08010401,080104,0801,08
Simohei,Hatolia Vila,Hatulia A,08030404,080304,0803,08
Hohopu,Hatolia Vila,Hatulia A,08030403,080304,0803,08
Aimeraulo,Hatolia Vila,Hatulia A,08030401,080304,0803,08
Cletrema,Coliate-Leotelo,Hatulia A,08030302,080303,0803,08
Raegoa,Coliate-Leotelo,Hatulia A,08030306,080303,0803,08
Teuro,Coliate-Leotelo,Hatulia A,08030307,080303,0803,08
Manulete,Coliate-Leotelo,Hatulia A,08030305,080303,0803,08
Aihatadiu,Coliate-Leotelo,Hatulia A,08030301,080303,0803,08
Hau-Hei,Coliate-Leotelo,Hatulia A,08030303,080303,0803,08
Leo-Dato,Leimea-Sorinbalo,Hatulia A,08030602,080306,0803,08
Tata,Ailelo,Hatulia A,08030204,080302,0803,08
Hatlour,Riheu,Ermera,08020902,080209,0802,08
Tatabauria,Mertuto,Ermera,08020504,080205,0802,08
Hotino,Mertuto,Ermera,08020502,080205,0802,08
Apido,Mertuto,Ermera,08020501,080205,0802,08
Liabe (lauana),Lauana,Letefoho,08050806,080508,0805,08
Leubasa,Lauana,Letefoho,08050805,080508,0805,08
Hatugeo,Lauana,Letefoho,08050803,080508,0805,08
Alosai,Lauana,Letefoho,08050801,080508,0805,08
Quiri Lelo,Lauana,Letefoho,08050807,080508,0805,08
Lemiluhi,Lauana,Letefoho,08050804,080508,0805,08
Roulo,Lauana,Letefoho,08050810,080508,0805,08
Leburema,Catrai Caraic,Letefoho,08050706,080507,0805,08
Duhoho,Catraileten,Letefoho,08050101,080501,0805,08
Raebou/Sloi,Lauana,Letefoho,08050809,080508,0805,08
Raebou/Ainapa,Lauana,Letefoho,08050808,080508,0805,08
Nona Bite,Lauala,Ermera,08020302,080203,0802,08
Ervilhat,Lauala,Ermera,08020301,080203,0802,08
Tunufahi,Catraileten,Letefoho,08050107,080501,0805,08
Hatudmei,Catrai Caraic,Letefoho,08050703,080507,0805,08
Baulisuria,Catrai Caraic,Letefoho,08050701,080507,0805,08
Manucoliria,Catrai Caraic,Letefoho,08050708,080507,0805,08
Mausormata,Catrai Caraic,Letefoho,08050709,080507,0805,08
Hatulete,Catrai Caraic,Letefoho,08050705,080507,0805,08
Hatugeo,Catrai Caraic,Letefoho,08050704,080507,0805,08
Hatuhei,Ducurai,Letefoho,08050204,080502,0805,08
Eratoi,Ducurai,Letefoho,08050203,080502,0805,08
Assui Kraik,Ducurai,Letefoho,08050201,080502,0805,08
Assui Leten,Ducurai,Letefoho,08050202,080502,0805,08
Taurema,Eraulo,Letefoho,08050306,080503,0805,08
Lequi Sala,Eraulo,Letefoho,08050303,080503,0805,08
Lebululi,Ducurai,Letefoho,08050208,080502,0805,08
Lacau,Ducurai,Letefoho,08050205,080502,0805,08
Raerema,Ducurai,Letefoho,08050210,080502,0805,08
Renomata,Ducurai,Letefoho,08050211,080502,0805,08
Lebudu,Ducurai,Letefoho,08050207,080502,0805,08
Goulala,Goulolo,Letefoho,08050403,080504,0805,08
Laclo,Ducurai,Letefoho,08050206,080502,0805,08
Manusae,Ducurai,Letefoho,08050209,080502,0805,08
Sabelo,Ducurai,Letefoho,08050213,080502,0805,08
Assi,Haupu,Letefoho,08050601,080506,0805,08
Riamori,Haupu,Letefoho,08050611,080506,0805,08
Riatoni,Haupu,Letefoho,08050612,080506,0805,08
Kairia,Haupu,Letefoho,08050607,080506,0805,08
Hatuhou,Haupu,Letefoho,08050604,080506,0805,08
Manukati Leten,Haupu,Letefoho,08050609,080506,0805,08
Haupu,Haupu,Letefoho,08050606,080506,0805,08
Duhoho (Haupu),Haupu,Letefoho,08050603,080506,0805,08
Lutlala,Haupu,Letefoho,08050608,080506,0805,08
Beturema Haupu,Haupu,Letefoho,08050602,080506,0805,08
Beturema Goulolo,Goulolo,Letefoho,08050401,080504,0805,08
Raepusa,Haupu,Letefoho,08050610,080506,0805,08
Riaheu,Hatugau,Letefoho,08050504,080505,0805,08
Hatugau,Hatugau,Letefoho,08050502,080505,0805,08
Cailiti,Hatugau,Letefoho,08050501,080505,0805,08
Rialau,Hatugau,Letefoho,08050505,080505,0805,08
Sauria,Hatugau,Letefoho,08050506,080505,0805,08
Lumutou,Catraileten,Letefoho,08050104,080501,0805,08
Manturai,Catrai Caraic,Letefoho,08050707,080507,0805,08
Hohulo,Catraileten,Letefoho,08050103,080501,0805,08
Fahiluha,Catraileten,Letefoho,08050102,080501,0805,08
Raebou,Catraileten,Letefoho,08050106,080501,0805,08
Olopana,Eraulo,Letefoho,08050305,080503,0805,08
Goulala,Eraulo,Letefoho,08050302,080503,0805,08
Madede,Eraulo,Letefoho,08050304,080503,0805,08
Leberti,Talimoro,Ermera,08021002,080210,0802,08
Bura,Talimoro,Ermera,08021001,080210,0802,08
Sare,Aculau,Hatulia A,08030105,080301,0803,08
Lima Mesak,Talimoro,Ermera,08021003,080210,0802,08
Sinlelo,Leguimea,Ermera,08020404,080204,0802,08
Manuquibia,Lissadila,Maubara,10030306,100303,1003,10
Cailiti,Goulolo,Letefoho,08050402,080504,0805,08
Eroho,Ponilala,Ermera,08020702,080207,0802,08
Moris Foun,Talimoro,Ermera,08021004,080210,0802,08
Biluli,Poetete,Ermera,08020602,080206,0802,08
Bermoslau,Aculau,Hatulia A,08030101,080301,0803,08
Sinai,Estado,Ermera,08020110,080201,0802,08
Lugulaulau,Manusae,Hatulia A,08030704,080307,0803,08
Mangero,Riheu,Ermera,08020903,080209,0802,08
Raebliri,Riheu,Ermera,08020904,080209,0802,08
Gomhei,Riheu,Ermera,08020901,080209,0802,08
Labubu,Lacumesac,Laclo,11020202,110202,1102,11
Hatu-Ruin,Laicore,Laclo,11020304,110203,1102,11
Bahadic,Laicore,Laclo,11020301,110203,1102,11
Rea-Hatu,Laicore,Laclo,11020303,110203,1102,11
Nunulete,Maubaralisa,Maubara,10030404,100304,1003,10
Baiquenalau,Maubaralisa,Maubara,10030401,100304,1003,10
Lissalara,Maubaralisa,Maubara,10030403,100304,1003,10
Darulema,Maubaralisa,Maubara,10030402,100304,1003,10
Glai,Lissadila,Maubara,10030304,100303,1003,10
Bautalo,Lissadila,Maubara,10030301,100303,1003,10
Darulema,Lissadila,Maubara,10030303,100303,1003,10
Cai-cassa,Lissadila,Maubara,10030302,100303,1003,10
Nunu lisa,Lissadila,Maubara,10030307,100303,1003,10
Lebuhae,Lissadila,Maubara,10030305,100303,1003,10
Lebucailiti,Vatuvou,Maubara,10030603,100306,1003,10
Vatu-Nau,Vatuvou,Maubara,10030610,100306,1003,10
Gariana,Vatuvou,Maubara,10030602,100306,1003,10
Raime,Vatuvou,Maubara,10030608,100306,1003,10
Lissalara,Vatuvou,Maubara,10030605,100306,1003,10
Bouraevei,Vatuvou,Maubara,10030601,100306,1003,10
Lissa-Ico,Vatuvou,Maubara,10030604,100306,1003,10
Mau-Ubu,Vatuvou,Maubara,10030607,100306,1003,10
Manuquibia,Vatuvou,Maubara,10030606,100306,1003,10
Vaupu,Vatuboro,Maubara,10030505,100305,1003,10
Sabulau,Vatuboro,Maubara,10030503,100305,1003,10
Tatamolobu,Vatuboro,Maubara,10030504,100305,1003,10
Raeglelu,Vatuboro,Maubara,10030502,100305,1003,10
Vatuvei,Guiço,Maubara,10030205,100302,1003,10
Irlelo,Guiço,Maubara,10030202,100302,1003,10
Mane-Mori,Ulmera,Bazartete,10010904,100109,1001,10
Mau-Soi,Tibar,Bazartete,10010803,100108,1001,10
Libaulelo,Tibar,Bazartete,10010802,100108,1001,10
Turleu,Tibar,Bazartete,10010804,100108,1001,10
Assorlema,Metagou,Bazartete,10010601,100106,1001,10
Caleulema,Metagou,Bazartete,10010602,100106,1001,10
Metiluli,Metagou,Bazartete,10010603,100106,1001,10
Maumetalau,Maumeta,Bazartete,10010503,100105,1001,10
Darmudapu,Maumeta,Bazartete,10010502,100105,1001,10
Pissu Craic,Lauhata,Bazartete,10010303,100103,1001,10
Camalehou,Lauhata,Bazartete,10010302,100103,1001,10
Pissu Lete,Lauhata,Bazartete,10010304,100103,1001,10
Raucassa,Lauhata,Bazartete,10010305,100103,1001,10
Legumea,Fatumasi,Bazartete,10010203,100102,1001,10
Durubasa,Fatumasi,Bazartete,10010202,100102,1001,10
Metir,Fatumasi,Bazartete,10010204,100102,1001,10
Caimegohou,Maumeta,Bazartete,10010501,100105,1001,10
Mota Icun,Motaulun,Bazartete,10010703,100107,1001,10
Mau-Luto,Motaulun,Bazartete,10010702,100107,1001,10
Tuhilo Craic,Fahilebo,Bazartete,10010102,100101,1001,10
Fatuneso,Fahilebo,Bazartete,10010101,100101,1001,10
Bucumera,Leorema,Bazartete,10010402,100104,1001,10
Cutulau,Leorema,Bazartete,10010403,100104,1001,10
Baura,Leorema,Bazartete,10010401,100104,1001,10
Urema,Leorema,Bazartete,10010409,100104,1001,10
Railuli,Leorema,Bazartete,10010408,100104,1001,10
Manu-Lete,Leorema,Bazartete,10010407,100104,1001,10
Fatunero,Leorema,Bazartete,10010405,100104,1001,10
Urluli,Leorema,Bazartete,10010410,100104,1001,10
Hatu-Hou,Leorema,Bazartete,10010406,100104,1001,10
Soatala,Loidahar,Liquiçá,10020604,100206,1002,10
Manucol-Hata,Loidahar,Liquiçá,10020603,100206,1002,10
Cotalara,Loidahar,Liquiçá,10020601,100206,1002,10
Caicasaico,Açumanu,Liquiçá,10020101,100201,1002,10
Quirilelo,Açumanu,Liquiçá,10020103,100201,1002,10
Hatumatilu,Açumanu,Liquiçá,10020102,100201,1002,10
Hatumasi,Leotala,Liquiçá,10020502,100205,1002,10
Manati,Leotala,Liquiçá,10020504,100205,1002,10
Tolema,Leotala,Liquiçá,10020505,100205,1002,10
Gaimegoluli,Leotala,Liquiçá,10020501,100205,1002,10
Nunuhou,Hatuquessi,Liquiçá,10020407,100204,1002,10
Tautalo,Hatuquessi,Liquiçá,10020408,100204,1002,10
Hatarlema,Hatuquessi,Liquiçá,10020403,100204,1002,10
Hatuquessilete,Hatuquessi,Liquiçá,10020404,100204,1002,10
Nunubrihati,Hatuquessi,Liquiçá,10020406,100204,1002,10
Caidico,Hatuquessi,Liquiçá,10020402,100204,1002,10
Caicoletohoho,Hatuquessi,Liquiçá,10020401,100204,1002,10
Lebu-Ae,Darulete,Liquiçá,10020203,100202,1002,10
Manupatia,Darulete,Liquiçá,10020204,100202,1002,10
Carulema,Darulete,Liquiçá,10020202,100202,1002,10
Caileli,Darulete,Liquiçá,10020201,100202,1002,10
Natarae,Luculai,Liquiçá,10020704,100207,1002,10
Lebuana,Luculai,Liquiçá,10020702,100207,1002,10
Metagou,Luculai,Liquiçá,10020703,100207,1002,10
Vila,Vaviquinia,Maubara,10030707,100307,1003,10
Morae,Vaviquinia,Maubara,10030704,100307,1003,10
Nunuana,Vaviquinia,Maubara,10030705,100307,1003,10
Pametapu,Vaviquinia,Maubara,10030706,100307,1003,10
Lebumeta,Vaviquinia,Maubara,10030703,100307,1003,10
Darulara,Vaviquinia,Maubara,10030701,100307,1003,10
Quirilelo,Dato,Liquiçá,10020310,100203,1002,10
Cabuilimo,Dato,Liquiçá,10020301,100203,1002,10
Lisaico,Dato,Liquiçá,10020308,100203,1002,10
Hecar,Dato,Liquiçá,10020304,100203,1002,10
Puquelara,Dato,Liquiçá,10020309,100203,1002,10
Camalelara,Dato,Liquiçá,10020303,100203,1002,10
Laclolema,Dato,Liquiçá,10020305,100203,1002,10
Camalehohoru,Dato,Liquiçá,10020302,100203,1002,10
Leopa,Dato,Liquiçá,10020307,100203,1002,10
Lebuhei,Dato,Liquiçá,10020306,100203,1002,10
Caiobilale,Caibada,Baucau,04020503,040205,0402,04
Haurobu,Caibada,Baucau,04020505,040205,0402,04
Ana-Uaro,Caibada,Baucau,04020501,040205,0402,04
Hene-Uaibubo,Seiçal,Baucau,04020802,040208,0402,04
Lacoda,Seiçal,Baucau,04020803,040208,0402,04
Umaquerek,Seiçal,Baucau,04020805,040208,0402,04
Loiborouai,Seiçal,Baucau,04020804,040208,0402,04
Lequiloi Uato,Bucoli,Baucau,04020202,040202,0402,04
Macadai de Baixo,Bucoli,Baucau,04020204,040202,0402,04
Luliheni,Bucoli,Baucau,04020203,040202,0402,04
Macadai de Cima,Bucoli,Baucau,04020205,040202,0402,04
Aubaca,Bucoli,Baucau,04020201,040202,0402,04
Caimale-Ho'o,Baha Mori,Venilale,04060201,040602,0406,04
Cumo-Oli,Baha Mori,Venilale,04060202,040602,0406,04
Laco-Uma,Baha Mori,Venilale,04060203,040602,0406,04
Uai-Toqui,Baha Mori,Venilale,04060206,040602,0406,04
Lia-Oli,Baha Mori,Venilale,04060204,040602,0406,04
Festau,Samalari,Baucau,04020701,040207,0402,04
Ossuluga,Samalari,Baucau,04020702,040207,0402,04
Samalari,Samalari,Baucau,04020703,040207,0402,04
Boi-Le,Bahu,Baucau,04020102,040201,0402,04
Ana-Ulo,Bahu,Baucau,04020101,040201,0402,04
Macadai,Bahu,Baucau,04020104,040201,0402,04
Lamegua,Bahu,Baucau,04020103,040201,0402,04
Darasula,Gariuai,Baucau,04020603,040206,0402,04
Lequiloi Uato,Triloca,Baucau,04021003,040210,0402,04
Macadai,Triloca,Baucau,04021004,040210,0402,04
Bado-Ho'o,Triloca,Baucau,04021002,040210,0402,04
Taci,Buruma,Baucau,04020404,040204,0402,04
One-Sere,Buruma,Baucau,04020402,040204,0402,04
Maulame,Caibada,Baucau,04020506,040205,0402,04
Casmuto,Buruma,Baucau,04020401,040204,0402,04
Boru-Baha,Caibada,Baucau,04020502,040205,0402,04
Ossu-Ua,Tirilolo,Baucau,04020905,040209,0402,04
Lutumuto,Tirilolo,Baucau,04020904,040209,0402,04
Butulale,Tirilolo,Baucau,04020901,040209,0402,04
Lialailesso,Tirilolo,Baucau,04020903,040209,0402,04
Parlamento,Tirilolo,Baucau,04020906,040209,0402,04
Samalaculiba,Buibau,Baucau,04020306,040203,0402,04
Builai,Buibau,Baucau,04020303,040203,0402,04
Alala,Buibau,Baucau,04020301,040203,0402,04
Manulai,Buibau,Baucau,04020305,040203,0402,04
Buibau,Buibau,Baucau,04020302,040203,0402,04
Uatu-Ua,Gariuai,Baucau,04020607,040206,0402,04
Maucale,Gariuai,Baucau,04020605,040206,0402,04
Uaturau,Gariuai,Baucau,04020608,040206,0402,04
Bahamori,Gariuai,Baucau,04020601,040206,0402,04
Cairiri,Gariuai,Baucau,04020602,040206,0402,04
Uaibehana,Gariuai,Baucau,04020606,040206,0402,04
