provider,provider_code,provider_name,provider_post,provider_mun,canonical_pcode,canonical_name,subdstcode,distcode,distname,subdistrct,region,status,score,note
intl2024,040805,Uailaha,Venilale,Baucau,30603,Uailaha,306,3,Baucau,Venilale,1,matched,1.00,
intl2024,040804,Uai Oli,Venilale,Baucau,30604,Uaiolo,306,3,Baucau,Venilale,1,matched,0.83,
intl2024,040807,Uma Ana Ico,Venilale,Baucau,30605,Uma Ana Ico,306,3,Baucau,Venilale,1,matched,1.00,
intl2024,040808,Uma Ana Ulo,Venilale,Baucau,30606,Uma Ana Ulo,306,3,Baucau,Venilale,1,matched,1.00,
intl2024,040803,Fatulia,Venilale,Baucau,30607,Fatulia,306,3,Baucau,Venilale,1,matched,1.00,
intl2024,040806,Uatu Haco,Venilale,Baucau,30608,Uataco,306,3,Baucau,Venilale,1,matched,0.92,
intl2024,050602,Lahomea,Maliana,Bobonaro,40101,Lahomea,401,4,Bobonaro,Maliana,4,matched,1.00,
intl2024,050604,Raifun,Maliana,Bobonaro,40102,Raifun,401,4,Bobonaro,Maliana,4,matched,1.00,
intl2024,050605,Ritabou,Maliana,Bobonaro,40103,Ritabou,401,4,Bobonaro,Maliana,4,matched,1.00,
intl2024,050603,Odomau,Maliana,Bobonaro,40104,Odomau,401,4,Bobonaro,Maliana,4,matched,1.00,
intl2024,050601,Holsa,Maliana,Bobonaro,40105,Holsa,401,4,Bobonaro,Maliana,4,matched,1.00,
intl2024,050607,Tapo/Memo,Maliana,Bobonaro,40106,Tapo/Memo,401,4,Bobonaro,Maliana,4,matched,1.00,
intl2024,050606,Saburai,Maliana,Bobonaro,40107,Saburai,401,4,Bobonaro,Maliana,4,matched,1.00,
intl2024,050408,Raiheu,Cailaco,Bobonaro,40201,Raiheu,402,4,Bobonaro,Cailaco,4,matched,1.00,
intl2024,050403,Goulolo,Cailaco,Bobonaro,40202,Goulolo,402,4,Bobonaro,Cailaco,4,matched,1.00,
intl2024,050406,Meligo,Cailaco,Bobonaro,40203,Meligo,402,4,Bobonaro,Cailaco,4,matched,1.00,
intl2024,050401,Atudara,Cailaco,Bobonaro,40204,Atudara,402,4,Bobonaro,Cailaco,4,matched,1.00,
intl2024,050407,Purugua,Cailaco,Bobonaro,40205,Purugoa,402,4,Bobonaro,Cailaco,4,matched,1.00,
intl2024,050402,Dau Udo,Cailaco,Bobonaro,40206,Dau Udu,402,4,Bobonaro,Cailaco,4,matched,1.00,
intl2024,050404,Guenu Lai,Cailaco,Bobonaro,40207,Guenu Lai,402,4,Bobonaro,Cailaco,4,matched,1.00,
intl2024,050405,Manapa,Cailaco,Bobonaro,40208,Manapa,402,4,Bobonaro,Cailaco,4,matched,1.00,
intl2024,050201,Balibo Vila,Balibo,Bobonaro,40301,Balibo Vila,403,4,Bobonaro,Balibo,4,matched,1.00,
intl2024,050204,Leohito,Balibo,Bobonaro,40302,Leohito,403,4,Bobonaro,Balibo,4,matched,1.00,
